LebwohlLasher.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.537, Time: 15.852029 s
         3667856 function calls (3651549 primitive calls) in 16.568 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4409    0.004    0.000    0.009    0.000 artist.py:1549(aliased_name)
        1    0.000    0.000    0.009    0.009 _pickle.py:1(<module>)
3680/3201    0.004    0.000    0.009    0.000 {built-in method __new__ of type object at 0x937ea0}
        1    0.000    0.000    0.009    0.009 pathlib.py:1(<module>)
      501    0.008    0.000    0.009    0.000 shape_base.py:377(stack)
        1    0.000    0.000    0.009    0.009 shape_base.py:1(<module>)
      429    0.000    0.000    0.008    0.000 colors.py:223(is_color_like)
       42    0.001    0.000    0.008    0.000 enum.py:528(__new__)
 1037/206    0.004    0.000    0.008    0.000 _compiler.py:37(_compile)
      462    0.001    0.000    0.008    0.000 colors.py:277(to_rgba)
        1    0.000    0.000    0.008    0.008 axis3d.py:1(<module>)
      321    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.008    0.008 _parser.py:1(<module>)
        1    0.000    0.000    0.008    0.008 fromnumeric.py:1(<module>)
      186    0.001    0.000    0.007    0.000 colors.py:324(_to_rgba_no_colorcycle)
        1    0.001    0.001    0.007    0.007 helpers.py:1(<module>)
        1    0.000    0.000    0.007    0.007 quiver.py:1(<module>)
     2004    0.006    0.000    0.007    0.000 numeric.py:1388(normalize_axis_tuple)
      349    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:416(__enter__)
      265    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
       42    0.003    0.000    0.007    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.007    0.007 mathtext.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _array_like.py:1(<module>)
        1    0.000    0.000    0.007    0.007 colorizer.py:1(<module>)
        1    0.000    0.000    0.007    0.007 scale.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:245(_check_versions)
        1    0.000    0.000    0.007    0.007 socket.py:1(<module>)
        1    0.000    0.000    0.006    0.006 ExifTags.py:1(<module>)
        7    0.000    0.000    0.006    0.001 __init__.py:73(import_module)
        7    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
       61    0.003    0.000    0.006    0.000 {built-in method builtins.eval}
       19    0.000    0.000    0.006    0.000 rcsetup.py:814(validate_cycler)
      959    0.004    0.000    0.006    0.000 inspect.py:3029(__init__)
      334    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.006    0.006 _methods.py:1(<module>)
       48    0.000    0.000    0.006    0.000 __init__.py:1403(_add_data_doc)
        1    0.000    0.000    0.006    0.006 _mathtext.py:1(<module>)
        1    0.000    0.000    0.006    0.006 npyio.py:1(<module>)
        1    0.000    0.000    0.006    0.006 texmanager.py:1(<module>)
        1    0.000    0.000    0.006    0.006 subprocess.py:1(<module>)
      501    0.001    0.000    0.006    0.000 _linalg.py:204(_assert_finite)
        1    0.000    0.000    0.006    0.006 common.py:1(<module>)
     7312    0.002    0.000    0.006    0.000 enum.py:720(__call__)
     9214    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.006    0.006 cm.py:32(_gen_cmap_registry)
       21    0.001    0.000    0.006    0.000 typing.py:2810(__new__)
        1    0.000    0.000    0.006    0.006 common.py:8(pyparsing_common)
        1    0.000    0.000    0.005    0.005 _npyio_impl.py:1(<module>)
